ID,sector,diversity_2012,diversity_2013,diversity_2014,diversity_2015
2503,meat,0.7347817951769647,0.7546782225830851,0.7592918802802088,0.7600664918090582
2599,animal,0.2187220893749373,0.2274607529984288,0.2381377372511252,0.2531497519128353
2599,meat,0.7284550324739223,0.7412386449209566,0.8090195474127879,0.7533063916534656
2601,animal,0.4481783126001737,0.4713080681562011,0.43979210412810016,0.440159654382075
2601,crop,0.5238999956030826,0.524040366486353,0.5239337852066211,0.5239316515069112
2601,feed,0.633330891748048,0.6432946511561217,0.6463467106529505,0.6480235325443751
2601,meat,0.8842767812277171,0.8924227769929158,0.88931526248257,0.8886096589671526
2602,animal,0.596467645792079,0.6061813585105102,0.6027686296081421,0.603912300144425
2602,crop,0.5323194694815393,0.5336460185338936,0.5309147334288422,0.5306536385418406
2602,feed,0.674160511541157,0.6498956761361694,0.6689672081527159,0.6636222090369747
2602,meat,0.7889944770921834,0.7862921808142542,0.8038263415344016,0.7837653716424082
2603,animal,0.4427412194872277,0.44586176458246257,0.4423350880719623,0.4433561837586125
2603,crop,0.5052123294289871,0.5075492916331787,0.5032416698497283,0.5029164800111304
2603,feed,0.6218292520029838,0.6376434993890259,0.6228987955692415,0.6256042656667823
2603,meat,0.6928710495417614,0.6558911160318845,0.7009522514177664,0.6955274618997571
2604,animal,0.4567781231078749,0.4675706860476228,0.4553902819672809,0.4565479804524018
2604,crop,0.5349977935649765,0.5623618431350639,0.5339975099212806,0.5337935681593646
2604,feed,0.6318560096444169,0.6881521123242993,0.6636184651520752,0.6337216568285065
2604,meat,0.6813985157383958,0.738983042285561,0.6697313318497675,0.6731451332251642
2605,animal,0.4154618172689961,0.422101253322884,0.4161711966545037,0.4171362869408229
2605,crop,0.5684979326860372,0.5697787106316169,0.5678781722532007,0.5677481291823927
2605,feed,0.7040761350195639,0.7058043717657584,0.699994465842327,0.7057781873269607
2605,meat,0.7441284943091769,0.7240172276198622,0.7327795529271769,0.7339156466002261
2606,animal,0.4084180634654462,0.4127860055196519,0.4084181267833031,0.4096281834342113
2606,crop,0.6077990635928517,0.6108821596134099,0.6068486661910977,0.6067411978405312
2606,feed,0.7422576267060196,0.7256161231997351,0.7240278763047491,0.7295620704220497
2606,meat,0.7571652291639648,0.7192022094125526,0.7709273384640354,0.7646744798388573
2607,animal,0.29479508036894936,0.3071187643471608,0.2949515798948225,0.2962524618665878
2607,crop,0.3721471721118801,0.3813777265821677,0.3719829156223899,0.37181412087902105
2607,feed,0.5616415296632173,0.5749556497294709,0.5481383594094572,0.5485157343705702
2607,meat,0.7783136198788796,0.7833451943531344,0.7529260627796456,0.7523744140725522
2699,animal,0.5222049954823067,0.5267654647684284,0.520892605061352,0.5221853221300136
2699,crop,0.5450311530506335,0.5464765930582491,0.5430660529609327,0.5427719746642288
2699,feed,0.6158924638252302,0.6051354431997891,0.6466744493431025,0.6191697333238312
2699,meat,0.760589892056479,0.7491116789134883,0.7780196010844153,0.7737786553574458
2701,animal,0.5146830616073791,0.5267790764157424,0.5377779975040081,0.5255338767026182
2701,crop,0.3526001490440201,0.3653977511881136,0.3780606401198924,0.3631013575468109
2701,feed,0.4146461166898428,0.4307941427974326,0.4306541220935057,0.4316193322781284
2701,meat,0.6386631581992301,0.6160835725825456,0.6343852959331813,0.6394919265432144
2702,animal,0.5264275027529625,0.5172669235986236,0.5034600067147471,0.5209644907666229
2702,crop,0.5442802027488133,0.5429502004421134,0.5403386531770713,0.5499836397522014
2702,feed,0.4370192712135895,0.4486310568898532,0.4253160207326853,0.4378641451888716
2702,meat,0.729961866246009,0.7296933923178123,0.6750331422929755,0.7380669276488772
2703,animal,0.414720741544706,0.4050518453545955,0.3857164118513177,0.41368580885448497
2703,crop,0.4246770617787588,0.4230411322257891,0.4019415748304845,0.4327193308581117
2703,feed,0.4364143080239492,0.4335044132694251,0.4215992049591637,0.4258460829152361
2703,meat,0.6388179954312014,0.6295257654806499,0.6513799023896751,0.6466540748756526
2704,animal,0.5047332615204438,0.49422047457056106,0.48135582476142896,0.5010650185100565
2704,crop,0.5075239386564298,0.4995407958583054,0.477330717279285,0.5041515553897018
2704,feed,0.4953220723791393,0.4858982511325074,0.4772673929693762,0.508092719061392
2704,meat,0.6545138318700479,0.6328964072602964,0.6351676186823733,0.6179414881372802
2705,animal,0.465376822172534,0.5056576210192091,0.4103751057390772,0.4577160349089643
2705,crop,0.4000487815128392,0.42660553661844747,0.35517697447982793,0.4063662686064009
